leftImg8bit\test\berlin\berlin_000000_000019_leftImg8bit.png,0
leftImg8bit\test\berlin\berlin_000001_000019_leftImg8bit.png,1
leftImg8bit\test\berlin\berlin_000002_000019_leftImg8bit.png,2
leftImg8bit\test\berlin\berlin_000003_000019_leftImg8bit.png,3
leftImg8bit\test\berlin\berlin_000004_000019_leftImg8bit.png,4
leftImg8bit\test\berlin\berlin_000005_000019_leftImg8bit.png,5
leftImg8bit\test\berlin\berlin_000006_000019_leftImg8bit.png,6
leftImg8bit\test\berlin\berlin_000007_000019_leftImg8bit.png,7
leftImg8bit\test\berlin\berlin_000008_000019_leftImg8bit.png,8
leftImg8bit\test\berlin\berlin_000009_000019_leftImg8bit.png,9
leftImg8bit\test\berlin\berlin_000010_000019_leftImg8bit.png,10
leftImg8bit\test\berlin\berlin_000011_000019_leftImg8bit.png,11
leftImg8bit\test\berlin\berlin_000012_000019_leftImg8bit.png,12
leftImg8bit\test\berlin\berlin_000013_000019_leftImg8bit.png,13
leftImg8bit\test\berlin\berlin_000014_000019_leftImg8bit.png,14
leftImg8bit\test\berlin\berlin_000015_000019_leftImg8bit.png,15
leftImg8bit\test\berlin\berlin_000016_000019_leftImg8bit.png,16
leftImg8bit\test\berlin\berlin_000017_000019_leftImg8bit.png,17
leftImg8bit\test\berlin\berlin_000018_000019_leftImg8bit.png,18
leftImg8bit\test\berlin\berlin_000019_000019_leftImg8bit.png,19
leftImg8bit\test\berlin\berlin_000020_000019_leftImg8bit.png,20
leftImg8bit\test\berlin\berlin_000021_000019_leftImg8bit.png,21
leftImg8bit\test\berlin\berlin_000022_000019_leftImg8bit.png,22
leftImg8bit\test\berlin\berlin_000023_000019_leftImg8bit.png,23
leftImg8bit\test\berlin\berlin_000024_000019_leftImg8bit.png,24
leftImg8bit\test\berlin\berlin_000025_000019_leftImg8bit.png,25
leftImg8bit\test\berlin\berlin_000026_000019_leftImg8bit.png,26
leftImg8bit\test\berlin\berlin_000027_000019_leftImg8bit.png,27
leftImg8bit\test\berlin\berlin_000028_000019_leftImg8bit.png,28
leftImg8bit\test\berlin\berlin_000029_000019_leftImg8bit.png,29
leftImg8bit\test\berlin\berlin_000030_000019_leftImg8bit.png,30
leftImg8bit\test\berlin\berlin_000031_000019_leftImg8bit.png,31
leftImg8bit\test\berlin\berlin_000032_000019_leftImg8bit.png,32
leftImg8bit\test\berlin\berlin_000033_000019_leftImg8bit.png,33
leftImg8bit\test\berlin\berlin_000034_000019_leftImg8bit.png,34
leftImg8bit\test\berlin\berlin_000035_000019_leftImg8bit.png,35
leftImg8bit\test\berlin\berlin_000036_000019_leftImg8bit.png,36
leftImg8bit\test\berlin\berlin_000037_000019_leftImg8bit.png,37
leftImg8bit\test\berlin\berlin_000038_000019_leftImg8bit.png,38
leftImg8bit\test\berlin\berlin_000039_000019_leftImg8bit.png,39
leftImg8bit\test\berlin\berlin_000040_000019_leftImg8bit.png,40
leftImg8bit\test\berlin\berlin_000041_000019_leftImg8bit.png,41
leftImg8bit\test\berlin\berlin_000042_000019_leftImg8bit.png,42
leftImg8bit\test\berlin\berlin_000043_000019_leftImg8bit.png,43
leftImg8bit\test\berlin\berlin_000044_000019_leftImg8bit.png,44
leftImg8bit\test\berlin\berlin_000045_000019_leftImg8bit.png,45
leftImg8bit\test\berlin\berlin_000046_000019_leftImg8bit.png,46
leftImg8bit\test\berlin\berlin_000047_000019_leftImg8bit.png,47
leftImg8bit\test\berlin\berlin_000048_000019_leftImg8bit.png,48
leftImg8bit\test\berlin\berlin_000049_000019_leftImg8bit.png,49
leftImg8bit\test\berlin\berlin_000050_000019_leftImg8bit.png,50
leftImg8bit\test\berlin\berlin_000051_000019_leftImg8bit.png,51
leftImg8bit\test\berlin\berlin_000052_000019_leftImg8bit.png,52
leftImg8bit\test\berlin\berlin_000053_000019_leftImg8bit.png,53
leftImg8bit\test\berlin\berlin_000054_000019_leftImg8bit.png,54
leftImg8bit\test\berlin\berlin_000055_000019_leftImg8bit.png,55
leftImg8bit\test\berlin\berlin_000056_000019_leftImg8bit.png,56
leftImg8bit\test\berlin\berlin_000057_000019_leftImg8bit.png,57
leftImg8bit\test\berlin\berlin_000058_000019_leftImg8bit.png,58
leftImg8bit\test\berlin\berlin_000059_000019_leftImg8bit.png,59
leftImg8bit\test\berlin\berlin_000060_000019_leftImg8bit.png,60
leftImg8bit\test\berlin\berlin_000061_000019_leftImg8bit.png,61
leftImg8bit\test\berlin\berlin_000062_000019_leftImg8bit.png,62
leftImg8bit\test\berlin\berlin_000063_000019_leftImg8bit.png,63
leftImg8bit\test\berlin\berlin_000064_000019_leftImg8bit.png,64
leftImg8bit\test\berlin\berlin_000065_000019_leftImg8bit.png,65
leftImg8bit\test\berlin\berlin_000066_000019_leftImg8bit.png,66
leftImg8bit\test\berlin\berlin_000067_000019_leftImg8bit.png,67
leftImg8bit\test\berlin\berlin_000068_000019_leftImg8bit.png,68
leftImg8bit\test\berlin\berlin_000069_000019_leftImg8bit.png,69
leftImg8bit\test\berlin\berlin_000070_000019_leftImg8bit.png,70
leftImg8bit\test\berlin\berlin_000071_000019_leftImg8bit.png,71
leftImg8bit\test\berlin\berlin_000072_000019_leftImg8bit.png,72
leftImg8bit\test\berlin\berlin_000073_000019_leftImg8bit.png,73
leftImg8bit\test\berlin\berlin_000074_000019_leftImg8bit.png,74
leftImg8bit\test\berlin\berlin_000075_000019_leftImg8bit.png,75
leftImg8bit\test\berlin\berlin_000076_000019_leftImg8bit.png,76
leftImg8bit\test\berlin\berlin_000077_000019_leftImg8bit.png,77
leftImg8bit\test\berlin\berlin_000078_000019_leftImg8bit.png,78
leftImg8bit\test\berlin\berlin_000079_000019_leftImg8bit.png,79
leftImg8bit\test\berlin\berlin_000080_000019_leftImg8bit.png,80
leftImg8bit\test\berlin\berlin_000081_000019_leftImg8bit.png,81
leftImg8bit\test\berlin\berlin_000082_000019_leftImg8bit.png,82
leftImg8bit\test\berlin\berlin_000083_000019_leftImg8bit.png,83
leftImg8bit\test\berlin\berlin_000084_000019_leftImg8bit.png,84
leftImg8bit\test\berlin\berlin_000085_000019_leftImg8bit.png,85
leftImg8bit\test\berlin\berlin_000086_000019_leftImg8bit.png,86
leftImg8bit\test\berlin\berlin_000087_000019_leftImg8bit.png,87
leftImg8bit\test\berlin\berlin_000088_000019_leftImg8bit.png,88
leftImg8bit\test\berlin\berlin_000089_000019_leftImg8bit.png,89
leftImg8bit\test\berlin\berlin_000090_000019_leftImg8bit.png,90
leftImg8bit\test\berlin\berlin_000091_000019_leftImg8bit.png,91
leftImg8bit\test\berlin\berlin_000092_000019_leftImg8bit.png,92
leftImg8bit\test\berlin\berlin_000093_000019_leftImg8bit.png,93
leftImg8bit\test\berlin\berlin_000094_000019_leftImg8bit.png,94
leftImg8bit\test\berlin\berlin_000095_000019_leftImg8bit.png,95
leftImg8bit\test\berlin\berlin_000096_000019_leftImg8bit.png,96
leftImg8bit\test\berlin\berlin_000097_000019_leftImg8bit.png,97
leftImg8bit\test\berlin\berlin_000098_000019_leftImg8bit.png,98
leftImg8bit\test\berlin\berlin_000099_000019_leftImg8bit.png,99
leftImg8bit\test\berlin\berlin_000100_000019_leftImg8bit.png,100
leftImg8bit\test\berlin\berlin_000101_000019_leftImg8bit.png,101
leftImg8bit\test\berlin\berlin_000102_000019_leftImg8bit.png,102
leftImg8bit\test\berlin\berlin_000103_000019_leftImg8bit.png,103
leftImg8bit\test\berlin\berlin_000104_000019_leftImg8bit.png,104
leftImg8bit\test\berlin\berlin_000105_000019_leftImg8bit.png,105
leftImg8bit\test\berlin\berlin_000106_000019_leftImg8bit.png,106
leftImg8bit\test\berlin\berlin_000107_000019_leftImg8bit.png,107
leftImg8bit\test\berlin\berlin_000108_000019_leftImg8bit.png,108
leftImg8bit\test\berlin\berlin_000109_000019_leftImg8bit.png,109
leftImg8bit\test\berlin\berlin_000110_000019_leftImg8bit.png,110
leftImg8bit\test\berlin\berlin_000111_000019_leftImg8bit.png,111
leftImg8bit\test\berlin\berlin_000112_000019_leftImg8bit.png,112
leftImg8bit\test\berlin\berlin_000113_000019_leftImg8bit.png,113
leftImg8bit\test\berlin\berlin_000114_000019_leftImg8bit.png,114
leftImg8bit\test\berlin\berlin_000115_000019_leftImg8bit.png,115
leftImg8bit\test\berlin\berlin_000116_000019_leftImg8bit.png,116
leftImg8bit\test\berlin\berlin_000117_000019_leftImg8bit.png,117
leftImg8bit\test\berlin\berlin_000118_000019_leftImg8bit.png,118
leftImg8bit\test\berlin\berlin_000119_000019_leftImg8bit.png,119
leftImg8bit\test\berlin\berlin_000120_000019_leftImg8bit.png,120
leftImg8bit\test\berlin\berlin_000121_000019_leftImg8bit.png,121
leftImg8bit\test\berlin\berlin_000122_000019_leftImg8bit.png,122
leftImg8bit\test\berlin\berlin_000123_000019_leftImg8bit.png,123
leftImg8bit\test\berlin\berlin_000124_000019_leftImg8bit.png,124
leftImg8bit\test\berlin\berlin_000125_000019_leftImg8bit.png,125
